Rank,Player,Position,Team,Extra,ADP,Final
395,Jack Endries,TE,N/A,,2868,
396,Austin Ekeler,RB,N/A,,2868,
397,Mitch Tinsley,WR,CINCINNATI BENGALS,,2868,
398,Chase Claypool,WR,N/A,,2868,
399,Cade Stover,TE,HOUSTON TEXANS,,2868,
400,Efton Chism,WR,NEW ENGLAND PATRIOTS,,2868,
401,Luke Schoonmaker,TE,DALLAS COWBOYS,,2868,
402,Jawhar Jordan,RB,HOUSTON TEXANS,,2868,
403,Tyson Bagent,QB,CHICAGO BEARS,,2868,
404,Devin Singletary,RB,NEW YORK GIANTS,,2868,
405,LaJohntay Wester,WR,BALTIMORE RAVENS,,2868,
406,Kendre Miller,RB,NEW ORLEANS SAINTS,,2868,
407,Phil Mafah,RB,DALLAS COWBOYS,,2868,
408,Sione Vaki,RB,DETROIT LIONS,,2868,
409,Darren Waller,TE,N/A,,2868,
410,La'Mical Perine,RB,N/A,,2868,
