Rank,Player,Position,Team,Value,PositionRank,Age,Kept,Traded,Cut
355,"Geno Smith",QB,NYJ,1406,45,35.4,7965,8047,8823
356,"Luke Schoonmaker",TE,DAL,1403,58,27.5,10382,10240,11032
357,"Elijah Higgins",TE,ARI,1396,59,25.4,6743,6634,7237
358,"Damien Martinez",RB,GBP,1393,105,22.1,3998,4303,3327
359,"George Holani",RB,SEA,1392,106,26.2,1189,768,733
360,"CJ Daniels",WR,FA,1355,150,-1,85,296,117
361,"Gabriel Davis",WR,BUF,1351,151,27,27723,28399,28345
362,"Davis Allen",TE,LAR,1328,60,25.1,6943,6747,6998
363,"Jordan Watkins",WR,SFO,1322,152,24.1,2578,2180,1866
364,"Lil'Jordan Humphrey",WR,DEN,1321,153,27.9,8227,7993,7831
365,"Spencer Rattler",QB,NOS,1306,46,25.5,3079,3147,2607
366,"Jake Bobo",WR,SEA,1302,154,27.6,7828,7507,7888
367,"Javon Baker",WR,SFO,1302,155,24.1,11347,11234,8665
368,"Jam Miller",RB,FA,1302,107,-1,102,282,99
369,"Tyler Badie",RB,DEN,1297,108,26.1,9671,9664,9568
370,"Chris Brooks",RB,GBP,1295,109,26.2,6285,5805,5566
371,"Deion Burks",WR,FA,1289,156,-1,106,303,123
372,"Jacob Cowing",WR,SFO,1285,157,25.1,8681,8498,6869
373,"Jonathan Mingo",WR,DAL,1277,158,24.9,14319,13994,13153
374,"Donovan Edwards",RB,MIA,1276,110,23,3170,2987,2539
375,"Dameon Pierce",RB,KCC,1266,111,26.1,21636,21746,21812
376,"Zach Ertz",TE,WAS,1264,61,35.4,20147,21145,23925
377,"Mitchell Evans",TE,CAR,1263,62,23,986,617,558
378,"J'Mari Taylor",RB,FA,1259,112,-1,93,261,110
379,"Arian Smith",WR,NYJ,1233,159,24.4,3066,2749,2180
380,"Brevin Jordan",TE,HOU,1225,63,25.7,15093,15457,14850
381,"Bo Melton",WR,GBP,1206,160,26.2,7188,7179,7700
382,"Barion Brown",WR,FA,1178,161,-1,78,319,72
383,"Mason Tipton",WR,NOS,1170,162,25.5,4602,4296,3669
384,"Skyy Moore",WR,GBP,1166,163,25.5,18355,18664,16377
385,"Hassan Haskins",RB,LAC,1165,113,26.3,11302,11474,11460
