Rank,Player,Position,Team,Value,PositionRank,Age,Kept,Traded,Cut
301,"Dillon Gabriel",QB,CLE,1600,49,25.3,5605,6104,5178
302,"Savion Williams",WR,GBP,1600,123,24.4,4129,3925,3342
303,"Jordan Whittington",WR,LAR,1594,124,25.5,9560,9356,8619
304,"Daniel Bellinger",TE,TEN,1584,46,25.5,21465,20993,20361
305,"Joshua Palmer",WR,BUF,1580,125,26.5,33827,34157,31327
306,"Treylon Burks",WR,WAS,1575,126,26,38052,38313,32724
307,"Darius Slayton",WR,NYG,1561,127,29.2,24209,24503,24685
308,"Marcus Mariota",QB,WAS,1550,50,32.4,19033,18674,15659
309,"Konata Mumpfield",WR,LAR,1545,128,23.4,2428,1935,1486
310,"Jameis Winston",QB,NYG,1539,51,32.2,33039,33056,29782
311,"Tyson Bagent",QB,CHI,1539,52,25.8,8957,8544,7376
312,"Kendrick Bourne",WR,ARI,1522,129,30.7,21942,22042,21540
313,"Roschon Johnson",RB,CHI,1513,86,25.2,23809,24204,21662
314,"Noah Fant",TE,NOS,1495,47,28.4,33532,34237,34103
315,"Xavier Restrepo",WR,TEN,1493,130,24,4939,5278,3811
316,"Cade Stover",TE,HOU,1485,48,25.8,10010,10044,8742
317,"Efton Chism",WR,NEP,1474,131,24.4,3758,3496,2058
318,"Jaleel McLaughlin",RB,DEN,1469,87,25.6,16298,16204,16753
319,"Tommy Tremble",TE,CAR,1463,49,25.8,16361,16310,17317
320,"Raheim Sanders",RB,CLE,1462,88,23.8,2928,2642,2655
321,"Devin Singletary",RB,NYG,1460,89,28.6,32727,33733,37548
322,"Devontez Walker",WR,BAL,1447,132,24.8,10465,10699,9603
323,"Olamide Zaccheaus",WR,ATL,1445,133,28.7,14343,14162,16621
324,"Mike Gesicki",TE,CIN,1443,50,30.5,29853,30285,33272
325,"Skyler Bell",WR,FA,1436,134,-1,322,537,196
326,"Will Levis",QB,TEN,1434,53,26.8,28722,29811,22952
327,"Dyami Brown",WR,WAS,1428,135,26.4,21978,22198,21765
328,"Bam Knight",RB,ARI,1419,90,25,11209,11030,11306
329,"Malik Davis",RB,DAL,1415,91,27.4,8297,7769,8251
330,"Jonnu Smith",TE,FA,1387,51,30.6,25638,25799,28103
331,"Tyler Higbee",TE,LAR,1381,52,33.3,27177,27455,28775
332,"Deshaun Watson",QB,CLE,1375,54,30.6,56412,59626,34627
333,"Michael Carter",RB,TEN,1370,92,26.9,29359,30173,31087
334,"Tahj Washington",WR,MIA,1360,136,24.9,7300,7018,6222
335,"Tai Felton",WR,MIN,1350,137,23.1,3746,3627,3167
336,"Max Klare",TE,FA,1348,53,-1,274,557,165
337,"Tanner McKee",QB,PHI,1331,55,26,3242,2875,2392
338,"George Holani",RB,SEA,1324,93,26.3,1234,858,823
339,"Justice Hill",RB,BAL,1309,94,28.4,19482,19462,21518
340,"Antonio Williams",WR,FA,1304,138,-1,264,544,238
341,"Joe Mixon",RB,FA,1302,95,29.7,53048,56192,61902
342,"Tyler Huntley",QB,BAL,1294,56,28.2,17599,17565,17705
343,"Jalin Hyatt",WR,NYG,1282,139,24.5,19963,20419,18328
344,"Phil Mafah",RB,DAL,1271,96,23.4,3577,3417,2439
345,"KaVontae Turpin",WR,DAL,1266,140,29.7,10086,9796,10530
346,"Luke Schoonmaker",TE,DAL,1257,54,27.5,16290,16092,16445
347,"Ty Johnson",RB,BUF,1255,97,28.6,15066,15222,14676
348,"Trey Lance",QB,LAC,1252,57,25.9,45515,47692,34127
349,"Gardner Minshew",QB,ARI,1244,58,29.9,24258,24438,21316
350,"Trey Palmer",WR,NOS,1241,141,25,15986,15861,14764
351,"Rasheen Ali",RB,BAL,1239,98,25.1,7958,7774,6719
352,"Malachi Corley",WR,CLE,1236,142,24,11779,12090,10167
353,"Mack Hollins",WR,NEP,1232,143,32.6,11810,11358,12958
354,"Elijah Higgins",TE,ARI,1232,55,25.4,8931,8737,9122
355,"Erick All",TE,CIN,1229,56,25.6,11305,11484,8671
356,"Emari Demercado",RB,KCC,1228,99,27.2,10215,10006,10918
357,"Michael Trigg",TE,FA,1209,57,-1,225,526,179
358,"Elijah Moore",WR,PHI,1208,144,26,43698,43962,39176
359,"Kevin Coleman",WR,FA,1207,145,-1,256,454,198
360,"Greg Dortch",WR,DET,1206,146,27.9,21091,21223,18854
